Date,Value
2023-01-01,100.0
2023-01-02,102.5
2023-01-03,101.2
2023-01-04,103.8
2023-01-05,105.0
2023-01-06,104.2
2023-01-07,106.5
2023-01-08,108.0
2023-01-09,107.2
2023-01-10,109.5
2023-01-11,111.0
2023-01-12,110.2
2023-01-13,112.5
2023-01-14,114.0
2023-01-15,113.2
2023-01-16,115.5
2023-01-17,117.0
2023-01-18,116.2
2023-01-19,118.5
2023-01-20,120.0
2023-01-21,119.2
2023-01-22,121.5
2023-01-23,123.0
2023-01-24,122.2
2023-01-25,124.5
2023-01-26,126.0
2023-01-27,125.2
2023-01-28,127.5
2023-01-29,129.0
2023-01-30,128.2
2023-02-01,130.5
2023-02-02,132.0
2023-02-03,131.2
2023-02-04,133.5
2023-02-05,135.0
2023-02-06,134.2
2023-02-07,136.5
2023-02-08,138.0
2023-02-09,137.2
2023-02-10,139.5
2023-02-11,141.0
2023-02-12,140.2
2023-02-13,142.5
2023-02-14,144.0
2023-02-15,143.2
2023-02-16,145.5
2023-02-17,147.0
2023-02-18,146.2
2023-02-19,148.5
2023-02-20,150.0
